Nome da campanha,Nome do conjunto de anúncios,Anúncios,Status de veiculação,Nível de veiculação,Configuração de atribuição,Tipo de resultado,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Classificação da taxa de engajamento,Classificação da taxa de conversão,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,All,All,active,campaign,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,47,1471501,4847553,2044.60,–,–,–,96096.02,3.29429134,12347,7.78294484,12024,0.81712483,5.77083954,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,All,active,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,37,1334060,4063362,2243.11,–,–,–,82995.15,3.04586151,10506,7.89978584,10296,0.77177938,5.84308293,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-M-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,11,548172,988049,2635.90,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,28994.90,1.80244339,3325,8.72027068,3206,0.58485293,7.2378682,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-H-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,11,238057,396574,919.01,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,10109.06,1.66587834,1254,8.06145136,1231,0.51710305,5.84676692,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|ABERTO,All,active,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,6,328125,739359,2023.88,–,–,–,12143.28,2.25328457,1701,7.13890653,1665,0.50742857,5.25683117,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-M-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,3,108917,162224,1117.21,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,3351.62,1.48942773,507,6.61069034,500,0.45906516,5.34548644,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-H-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1,61048,86764,1595.20,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,1595.20,1.4212423,272,5.86470588,268,0.43899882,4.37041096,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|INTERESSE-MEI,All,active,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,4,14107,44832,239.40,–,–,–,957.59,3.17799674,140,6.83992857,132,0.93570568,4.96160622,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-M-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,,,6920,14727,,Na média,Abaixo da média – 20% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,380.62,2.12817919,57,6.67754386,55,0.79479769,5.14351351,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-H-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,,,5325,10177,,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,220.36,1.91117371,26,8.47538462,26,0.48826291,5.37463415,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,All,All,inactive,campaign,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,753,1178882,3081577,63.24,–,–,–,47619.23,2.61398257,5736,8.30181834,5522,0.4684099,5.48735077,52,915.75442308,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|ABERTO,All,not_delivering,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,592,1089286,2520328,63.97,–,–,–,37868.76,2.31374313,4567,8.29182395,4428,0.40650481,5.38980359,38,996.54631579,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-2-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,239,633350,1085102,62.25,–,–,–,14878.74,1.71327386,1477,10.07362221,1449,0.22878345,6.63636931,19,783.09157895,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-1-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,221,587649,906034,66.53,–,–,–,14703.97,1.54179451,1403,10.48037776,1384,0.23551474,7.47152947,10,1470.397,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,All,inactive,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,152,304644,487705,56.45,–,–,–,8580.36,1.60090138,985,8.71102538,966,0.31709142,6.2676114,14,612.88285714,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-2-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,78,164193,230499,57.49,–,–,–,4483.84,1.40382964,462,9.70528139,452,0.27528579,7.16268371,11,407.62181818,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-1-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,47,146338,194592,59.30,–,–,–,2787.32,1.32974347,310,8.99135484,309,0.211155,6.32045351,3,929.10666667,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|INTERESSE-MEI,All,not_delivering,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,9,19348,73544,130.01,–,–,–,1170.11,3.80111639,184,6.35929348,179,0.92516022,3.76241158,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-1-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,4,8359,16540,66.90,–,–,–,267.59,1.97870559,41,6.52658537,40,0.47852614,4.95537037,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-2-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1,7335,14354,218.02,–,–,–,218.02,1.95691888,26,8.38538462,26,0.35446489,3.82491228,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,All,All,inactive,campaign,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,934,586560,1345947,31.96,–,–,–,29845.98,2.29464505,3524,8.46934733,3416,0.58237861,5.29747604,1,29845.98,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|ABERTO,All,not_delivering,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,672,522896,1078309,33.16,–,–,–,22283.32,2.06218636,2708,8.22870015,2625,0.50201187,5.06208996,1,22283.32,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,78,101200,149744,38.52,–,–,–,3004.92,1.47968379,330,9.10581818,322,0.31818182,5.82348837,1,3004.92,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-SEM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,9,7640,8994,24.56,–,–,–,221.02,1.17722513,22,10.04636364,21,0.27486911,5.97351351,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-PIXEL-LEAD,All,not_delivering,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,219,139077,267638,34.53,–,–,–,7562.66,1.92438721,816,9.26796569,787,0.56587358,5.90832812,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-PIXEL-LEAD,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,30,27417,37561,30.90,–,–,–,927.10,1.36998942,111,8.35225225,106,0.38662144,6.02012987,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-PIXEL-LEAD,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-SEM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1,1443,1794,44.33,–,–,–,44.33,1.24324324,6,7.38833333,6,0.41580042,5.54125,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,All,inactive,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1,0,0,0.00,–,–,–,0.00,0,,,,,,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1,0,0,0.00,–,–,–,0.00,0,,,,,,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|INTERESSE-MEI,All,inactive,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,4,0,0,0.00,–,–,–,0.00,0,,,,,,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1,0,0,0.00,–,–,–,0.00,0,,,,,,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-MIX-LEADS,All,inactive,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,38,0,0,0.00,–,–,–,0.00,0,,,,,,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-MIX-LEADS,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-SEM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1,0,0,0.00,–,–,–,0.00,0,,,,,,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-MIX-LEADS,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,14,0,0,0.00,–,–,–,0.00,0,,,,,,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,All,All,completed,campaign,Clique de 7 dias ou visualização de 1 dia,Alcance,2859013,2859013,13014716,8.79,–,–,–,25125.13,4.55217098,4653,5.39977004,4653,0.16274847,1.56037325,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|05-06-AUTOMEDICACAO-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,1519381,1519381,1541370,2.04,–,–,–,3100.00,1.01447234,252,12.3015873,251,0.01651989,3.52673493,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|05-06-AUTOMEDICACAO-IG,CARROSSEL|HABITOS|05-06-AUTOMEDICACAO-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,1519381,1519381,1541370,2.04,–,–,–,3100.00,1.01447234,252,12.3015873,251,0.01651989,3.52673493,,,2023-06-01,2023-11-30
