Campanha,Conjunto_Anuncios,Anuncio,Status_Veiculacao,Nivel_Veiculacao,Config_Atribuicao,Tipo_Resultado,Resultados,Alcance,Impressoes,Custo_Resultado,Qualidade,Taxa_Engajamento,Taxa_Conversao,Investimento,Frequencia,Cliques_Link,CPC,Cliques_Link_Unicos,CTR_Unico,Custo_Clique_Unico,Cadastros,Custo_Cadastro,Inicio_Relatorios,Fim_Relatorios,CPA,Apelido
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,All,All,active,campaign,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,47.0,1471501,4847553,2044.6,–,–,–,96096.02,3.29429134,12347.0,7.78294484,12024.0,0.81712483,5.77083954,0.0,,2023-06-01,2023-11-30,96096.02,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,All,active,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,37.0,1334060,4063362,2243.11,–,–,–,82995.15,3.04586151,10506.0,7.89978584,10296.0,0.77177938,5.84308293,0.0,,2023-06-01,2023-11-30,82995.15,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-M-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,11.0,548172,988049,2635.9,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,28994.9,1.80244339,3325.0,8.72027068,3206.0,0.58485293,7.2378682,0.0,,2023-06-01,2023-11-30,28994.9,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-H-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,11.0,238057,396574,919.01,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,10109.06,1.66587834,1254.0,8.06145136,1231.0,0.51710305,5.84676692,0.0,,2023-06-01,2023-11-30,10109.06,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|ABERTO,All,active,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,6.0,328125,739359,2023.88,–,–,–,12143.28,2.25328457,1701.0,7.13890653,1665.0,0.50742857,5.25683117,0.0,,2023-06-01,2023-11-30,12143.28,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-M-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,3.0,108917,162224,1117.21,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,3351.62,1.48942773,507.0,6.61069034,500.0,0.45906516,5.34548644,0.0,,2023-06-01,2023-11-30,3351.62,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-H-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1.0,61048,86764,1595.2,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,1595.2,1.4212423,272.0,5.86470588,268.0,0.43899882,4.37041096,0.0,,2023-06-01,2023-11-30,1595.2,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|INTERESSE-MEI,All,active,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,4.0,14107,44832,239.4,–,–,–,957.59,3.17799674,140.0,6.83992857,132.0,0.93570568,4.96160622,0.0,,2023-06-01,2023-11-30,957.59,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-M-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,,0.0,6920,14727,,Na média,Abaixo da média – 20% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,380.62,2.12817919,57.0,6.67754386,55.0,0.79479769,5.14351351,0.0,,2023-06-01,2023-11-30,380.62,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|ENGAJAMENTO|SAUDE-PME-10%-DESCONTO,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-H-11-2023,active,ad,Clique de 7 dias ou visualização de 1 dia,,0.0,5325,10177,,Na média,Abaixo da média – 35% mais baixos dos anúncios,Abaixo da média – 35% mais baixos dos anúncios,220.36,1.91117371,26.0,8.47538462,26.0,0.48826291,5.37463415,0.0,,2023-06-01,2023-11-30,220.36,ENGAJAMENTO|SAUDE-PME-10%-DESCONTO
