Campanha,Status de veiculação,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
SAUDE-PME-10%-DESCONTO-1,active,47.0,1471501,4847553,2044.6,–,96096.02,3.29429134,12347.0,7.78294484,12024.0,0.81712483,5.77083954,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-2,active,37.0,1334060,4063362,2243.11,–,82995.15,3.04586151,10506.0,7.89978584,10296.0,0.77177938,5.84308293,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-3,active,11.0,548172,988049,2635.9,Na média,28994.9,1.80244339,3325.0,8.72027068,3206.0,0.58485293,7.2378682,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-4,active,11.0,238057,396574,919.01,Na média,10109.06,1.66587834,1254.0,8.06145136,1231.0,0.51710305,5.84676692,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-5,active,6.0,328125,739359,2023.88,–,12143.28,2.25328457,1701.0,7.13890653,1665.0,0.50742857,5.25683117,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-6,active,3.0,108917,162224,1117.21,Na média,3351.62,1.48942773,507.0,6.61069034,500.0,0.45906516,5.34548644,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-7,active,1.0,61048,86764,1595.2,Na média,1595.2,1.4212423,272.0,5.86470588,268.0,0.43899882,4.37041096,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-8,active,4.0,14107,44832,239.4,–,957.59,3.17799674,140.0,6.83992857,132.0,0.93570568,4.96160622,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-9,active,,6920,14727,,Na média,380.62,2.12817919,57.0,6.67754386,55.0,0.79479769,5.14351351,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-10,active,,5325,10177,,Na média,220.36,1.91117371,26.0,8.47538462,26.0,0.48826291,5.37463415,,,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-1,inactive,753.0,1178882,3081577,63.24,–,47619.23,2.61398257,5736.0,8.30181834,5522.0,0.4684099,5.48735077,52.0,915.75442308,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-2,not_delivering,592.0,1089286,2520328,63.97,–,37868.76,2.31374313,4567.0,8.29182395,4428.0,0.40650481,5.38980359,38.0,996.54631579,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-3,inactive,239.0,633350,1085102,62.25,–,14878.74,1.71327386,1477.0,10.07362221,1449.0,0.22878345,6.63636931,19.0,783.09157895,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-4,inactive,221.0,587649,906034,66.53,–,14703.97,1.54179451,1403.0,10.48037776,1384.0,0.23551474,7.47152947,10.0,1470.397,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-5,inactive,152.0,304644,487705,56.45,–,8580.36,1.60090138,985.0,8.71102538,966.0,0.31709142,6.2676114,14.0,612.88285714,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-6,inactive,78.0,164193,230499,57.49,–,4483.84,1.40382964,462.0,9.70528139,452.0,0.27528579,7.16268371,11.0,407.62181818,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-7,inactive,47.0,146338,194592,59.3,–,2787.32,1.32974347,310.0,8.99135484,309.0,0.211155,6.32045351,3.0,929.10666667,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-8,not_delivering,9.0,19348,73544,130.01,–,1170.11,3.80111639,184.0,6.35929348,179.0,0.92516022,3.76241158,,,2023-06-01,2023-11-30
SAUDE-PME-SUPER-MES-9,inactive,4.0,8359,16540,66.9,–,267.59,1.97870559,41.0,6.52658537,40.0,0.47852614,4.95537037,,,2023-06-01,2023-11-30
